food_type,category,food_group,moisture_level,oil_content,storage_condition,temperature,packaging,time_since_prep_hours,remaining_consumable_hours
halwa,veg,sweet,medium,high,fridge,2.4,closed,22.5,51.43
curd,dairy,liquid,high,low,room,33.3,open,39.0,0.0
fish_curry,nonveg,curry,high,low,fridge,6.0,closed,7.9,15.67
chicken_curry,nonveg,curry,high,medium,room,31.8,open,43.2,0.0
pakora,veg,fried,low,high,room,25.4,closed,5.1,14.19
idli,veg,breakfast,medium,low,fridge,4.1,closed,12.1,28.84
roti,veg,bread,low,low,fridge,3.6,closed,2.8,67.09
roti,veg,bread,low,low,room,35.8,open,27.4,0.0
naan,veg,bread,low,medium,fridge,6.7,closed,2.7,43.19
jeera_rice,veg,rice,medium,low,fridge,2.7,closed,9.4,29.46
roti,veg,bread,low,low,fridge,7.2,open,23.9,36.07
curd,dairy,liquid,high,low,fridge,5.7,open,30.2,33.46
jeera_rice,veg,rice,medium,low,room,27.7,open,39.4,0.0
plain_rice,veg,rice,medium,low,fridge,2.3,closed,23.0,22.08
idli,veg,breakfast,medium,low,room,30.2,closed,43.1,0.0
pakora,veg,fried,low,high,room,32.3,open,12.2,1.24
pakora,veg,fried,low,high,room,27.2,closed,45.5,0.0
plain_rice,veg,rice,medium,low,room,33.4,closed,46.6,0.0
dal_tadka,veg,curry,high,low,fridge,3.3,open,22.2,7.34
chicken_curry,nonveg,curry,high,medium,fridge,3.0,open,33.5,0.0
roti,veg,bread,low,low,fridge,2.6,closed,37.1,20.84
dal_tadka,veg,curry,high,low,fridge,7.8,open,4.0,26.26
dosa,veg,breakfast,medium,low,room,30.9,open,12.5,0.0
plain_rice,veg,rice,medium,low,fridge,6.6,open,1.8,27.87
milk,dairy,liquid,high,low,room,37.7,closed,39.4,0.0
gulab_jamun,dairy,sweet,high,medium,room,29.7,open,27.5,0.0
paratha,veg,bread,low,high,fridge,7.2,closed,28.8,45.24
roti,veg,bread,low,low,room,36.4,open,18.3,0.0
roti,veg,bread,low,low,room,36.4,closed,43.8,0.0
halwa,veg,sweet,medium,high,fridge,6.3,open,35.5,22.92
pakora,veg,fried,low,high,room,28.1,open,28.4,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,3.9,open,26.6,0.0
naan,veg,bread,low,medium,room,31.7,closed,1.5,19.03
dal_tadka,veg,curry,high,low,room,25.3,closed,47.8,0.0
idli,veg,breakfast,medium,low,room,31.1,open,26.7,0.0
roti,veg,bread,low,low,fridge,4.8,closed,43.7,27.86
paneer_butter_masala,dairy,curry,high,medium,room,33.4,closed,9.1,0.0
jeera_rice,veg,rice,medium,low,room,24.5,open,2.9,7.38
samosa,veg,fried,low,high,fridge,4.9,open,0.8,45.46
veg_pulao,veg,rice,medium,medium,room,27.3,closed,11.9,0.0
naan,veg,bread,low,medium,fridge,4.3,closed,27.2,34.77
samosa,veg,fried,low,high,room,26.7,closed,30.9,0.0
pakora,veg,fried,low,high,fridge,6.6,open,10.9,27.24
jeera_rice,veg,rice,medium,low,fridge,5.6,closed,13.2,26.0
jeera_rice,veg,rice,medium,low,room,30.7,closed,38.7,0.0
pakora,veg,fried,low,high,room,31.9,open,8.2,5.8
idli,veg,breakfast,medium,low,fridge,6.1,closed,28.7,3.01
samosa,veg,fried,low,high,room,28.2,open,12.0,3.53
veg_pulao,veg,rice,medium,medium,fridge,7.6,closed,17.9,12.32
dosa,veg,breakfast,medium,low,fridge,5.3,open,43.4,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,3.6,open,46.7,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,4.7,open,10.4,38.29
plain_rice,veg,rice,medium,low,fridge,4.6,open,12.6,15.26
curd,dairy,liquid,high,low,fridge,3.2,closed,4.3,56.11
pakora,veg,fried,low,high,room,30.0,open,18.0,0.0
veg_pulao,veg,rice,medium,medium,room,34.1,open,22.8,0.0
paratha,veg,bread,low,high,room,29.8,closed,30.9,0.0
curd,dairy,liquid,high,low,fridge,5.9,open,1.9,48.93
dosa,veg,breakfast,medium,low,fridge,6.7,open,39.4,0.0
idli,veg,breakfast,medium,low,fridge,5.3,closed,29.7,13.3
milk,dairy,liquid,high,low,room,33.2,open,1.0,5.73
dosa,veg,breakfast,medium,low,room,29.9,open,37.2,0.0
pakora,veg,fried,low,high,fridge,6.6,open,1.6,31.28
veg_pulao,veg,rice,medium,medium,room,31.3,open,20.7,0.0
paratha,veg,bread,low,high,fridge,7.9,open,22.8,28.84
naan,veg,bread,low,medium,room,27.2,open,4.2,8.38
naan,veg,bread,low,medium,fridge,4.3,closed,45.6,2.66
idli,veg,breakfast,medium,low,room,24.8,open,18.1,0.0
gulab_jamun,dairy,sweet,high,medium,room,27.7,open,43.5,0.0
halwa,veg,sweet,medium,high,fridge,4.3,open,12.3,47.52
chicken_biryani,nonveg,rice,medium,medium,fridge,6.1,closed,31.0,0.0
milk,dairy,liquid,high,low,room,28.8,open,7.2,1.22
pakora,veg,fried,low,high,room,37.8,closed,13.2,1.47
paneer_butter_masala,dairy,curry,high,medium,fridge,4.8,open,24.4,0.0
paneer_butter_masala,dairy,curry,high,medium,room,32.0,open,1.2,7.61
gulab_jamun,dairy,sweet,high,medium,fridge,2.7,open,4.2,69.49
roti,veg,bread,low,low,fridge,5.2,closed,9.7,60.63
